ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
Q05586,"Glutamate receptor ionotropic, NMDA 1",GRIN1,219920,D13515,Q05586,NMDZ1_HUMAN,2HQW; 2NR1; 3BYA,,GRIN1,HGNC:4584,Human,DB01173; DB08838; DB08954
P43700,DNA gyrase subunit A,gyrA,1574722,L42023,P43700,GYRA_HAEIN,"",,,,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),DB00218; DB00365; DB00467; DB00487; DB00537; DB00685; DB00827; DB00978; DB01059; DB01137; DB01155; DB01165; DB01208; DB01405; DB04576; DB06771; DB09047
P43116,Prostaglandin E2 receptor EP2 subtype,PTGER2,632650,U19487,P43116,PE2R2_HUMAN,"",,PTGER2,HGNC:9594,Human,DB00770; DB00917; DB00929; DB09211
P35968,Vascular endothelial growth factor receptor 2,KDR,2655412,AF035121,P35968,VGFR2_HUMAN,1VR2; 1Y6A; 1Y6B; 1YWN; 2M59; 2MET; 2MEU; 2OH4; 2P2H; 2P2I; 2QU5; 2QU6; 2RL5; 2X1W; 2X1X; 2XIR; 3B8Q; 3B8R; 3BE2; 3C7Q; 3CJF; 3CJG; 3CP9; 3CPB; 3CPC; 3DTW; 3EFL; 3EWH; 3KVQ; 3S35; 3S36; 3S37; 3U6J; 3V2A; 3V6B; 3VHE; 3VHK; 3VID; 3VNT; 3VO3; 3WZD; 3WZE; 4AG8; 4AGC; 4AGD; 4ASD; 4ASE,,KDR,HGNC:6307,Human,DB00398; DB01268; DB05578; DB06589; DB06595; DB06626; DB08875; DB08896; DB09078; DB09079
Q969G6,Riboflavin kinase,RFK,7023634,AK002011,Q969G6,RIFK_HUMAN,1NB0; 1NB9; 1P4M; 1Q9S,,RFK,HGNC:30324,Human,DB00140
P48029,Sodium- and chloride-dependent creatine transporter 1,SLC6A8,493132,L31409,P48029,SC6A8_HUMAN,"",,SLC6A8,HGNC:11055,Human,DB00148; DB13191
P49069,Calcium signal-modulating cyclophilin ligand,CAMLG,619670,U18242,P49069,CAMLG_HUMAN,"",,CAMLG,HGNC:1471,Human,DB00091
P04070,Vitamin K-dependent protein C,PROC,190334,M11228,P04070,PROC_HUMAN,1AUT; 1LQV; 1PCU; 2PCT; 3F6U; 3JTC; 4DT7,,PROC,HGNC:9451,Human,DB00464; DB13149
P47869,Gamma-aminobutyric acid receptor subunit alpha-2,GABRA2,386422,S62907,P47869,GBRA2_HUMAN,"",,GABRA2,HGNC:4076,Human,DB00231; DB00241; DB00306; DB00312; DB00371; DB00418; DB00463; DB00546; DB00599; DB00683; DB00690; DB00794; DB00801; DB00829; DB00842; DB00849; DB00897; DB01198; DB01215; DB01346; DB01351; DB01352; DB01353; DB01354; DB01355; DB01483; DB01496; DB01544; DB01558; DB01559; DB01567; DB01588; DB01589; DB01594; DB01595; DB09166; DB13872
Q02127,"Dihydroorotate dehydrogenase (quinone), mitochondrial",DHODH,555594,M94065,Q02127,PYRD_HUMAN,1D3G; 1D3H; 2B0M; 2BXV; 2FPT; 2FPV; 2FPY; 2FQI; 2PRH; 2PRL; 2PRM; 2WV8; 3F1Q; 3FJ6; 3FJL; 3G0U; 3G0X; 3KVJ; 3KVK; 3KVL; 3KVM; 3U2O; 3W7R; 3ZWS; 3ZWT; 4IGH; 4JGD; 4JS3; 4JTS; 4JTT; 4JTU; 4LS0; 4LS1; 4LS2; 4OQV; 4RK8; 4RKA; 4RLI,,DHODH,HGNC:2867,Human,DB01097
P25103,Substance-P receptor,TACR1,8176544,S62045,P25103,NK1R_HUMAN,2KS9; 2KSA; 2KSB,,TACR1,HGNC:11526,Human,DB00673; DB09048
P48551,Interferon alpha/beta receptor 2,IFNAR2,995300,L42243,P48551,INAR2_HUMAN,1N6U; 1N6V; 2HYM; 2KZ1; 2LAG; 3S8W; 3S9D; 3SE3; 3SE4,,IFNAR2,HGNC:5433,Human,DB00008; DB00011; DB00018; DB00022; DB00034; DB00060; DB00068; DB00069; DB00105
P23945,Follicle-stimulating hormone receptor,FSHR,182771,M65085,P23945,FSHR_HUMAN,1XUN; 1XWD; 4AY9; 4MQW,,FSHR,HGNC:3969,Human,DB00032; DB00066; DB00094; DB00097; DB04786
P21917,D(4) dopamine receptor,DRD4,291946,L12398,P21917,DRD4_HUMAN,"",,DRD4,HGNC:3025,Human,DB00413; DB00589; DB00714; DB00988; DB01235; DB01267; DB04908; DB05271
P60880,Synaptosomal-associated protein 25,SNAP25,307426,L19760,P60880,SNP25_HUMAN,1KIL; 1XTG; 2N1T; 3DDA; 3DDB; 3RK2; 3RK3; 3RL0; 3ZUR,,SNAP25,HGNC:11132,Human,DB00083
P41595,5-hydroxytryptamine receptor 2B,HTR2B,475198,X77307,P41595,5HT2B_HUMAN,4IB4; 4NC3,,HTR2B,HGNC:5294,Human,DB00247; DB00508; DB00574; DB00805; DB01142; DB01239; DB01242; DB06016
P08246,Neutrophil elastase,ELANE,296665,Y00477,P08246,ELNE_HUMAN,1B0F; 1H1B; 1HNE; 1PPF; 1PPG; 2RG3; 2Z7F; 3Q76; 3Q77; 4NZL; 4WVP; 5A09; 5A0A; 5A0B; 5A0C; 5ABW,,ELA2,HGNC:3309,Human,DB00058
O15399,"Glutamate receptor ionotropic, NMDA 2D",GRIN2D,2444026,U77783,O15399,NMDE4_HUMAN,"",,GRIN2D,HGNC:4588,Human,DB01173
Q53I07,Envelope glycoprotein,gp41,62732120,AJ964940,Q53I07,Q53I07_9HIV1,"",,,,Human immunodeficiency virus 1,DB00109
P02794,Ferritin heavy chain,FTH1,28435,X00318,P02794,FRIH_HUMAN,1FHA; 2CEI; 2CHI; 2CIH; 2CLU; 2CN6; 2CN7; 2FHA; 2IU2; 2Z6M; 3AJO; 3AJP; 3AJQ; 3ERZ; 3ES3; 4DYX; 4DYY; 4DYZ; 4DZ0; 4OYN; 4Y08; 4YKH; 4ZJK; 5CMQ; 5CMR,,FTH1,HGNC:3976,Human,DB00893
P00325,Alcohol dehydrogenase 1B,ADH1B,178098,M24317,P00325,ADH1B_HUMAN,1DEH; 1HDX; 1HDY; 1HDZ; 1HSZ; 1HTB; 1U3U; 1U3V; 3HUD,,ADH1B,HGNC:250,Human,DB01213
P32238,Cholecystokinin receptor type A,CCKAR,306491,L13605,P32238,CCKAR_HUMAN,1D6G; 1HZN; 1PB2,,CCKAR,HGNC:1570,Human,DB00403
P38435,Vitamin K-dependent gamma-carboxylase,GGCX,184028,M81592,P38435,VKGC_HUMAN,"",,GGCX,HGNC:4247,Human,DB00170; DB01022; DB01125
P11926,Ornithine decarboxylase,ODC1,29893806,M16650,P11926,DCOR_HUMAN,1D7K; 2ON3; 2OO0; 4ZGY,,ODC1,HGNC:8109,Human,DB06243
P08173,Muscarinic acetylcholine receptor M4,CHRM4,61970253,M16405,P08173,ACM4_HUMAN,"",,CHRM4,HGNC:1953,Human,DB00340; DB00387; DB00572; DB00725; DB00767; DB00785; DB00809; DB01036; DB01142; DB08897; DB09167
P50416,"Carnitine O-palmitoyltransferase 1, liver isoform",CPT1A,755646,L39211,P50416,CPT1A_HUMAN,2LE3,,CPT1A,HGNC:2328,Human,DB01074
P17540,"Creatine kinase S-type, mitochondrial",CKMT2,338237,J05401,P17540,KCRS_HUMAN,4Z9M,,CKMT2,HGNC:1996,Human,DB00148; DB13191
Q9GZZ6,Neuronal acetylcholine receptor subunit alpha-10,CHRNA10,12053839,AJ278118,Q9GZZ6,ACH10_HUMAN,"",,CHRNA10,HGNC:13800,Human,DB00202; DB00333; DB01090; DB01116
P19793,Retinoic acid receptor RXR-alpha,RXRA,35885,X52773,P19793,RXRA_HUMAN,1BY4; 1DSZ; 1FBY; 1FM6; 1FM9; 1G1U; 1G5Y; 1K74; 1LBD; 1MV9; 1MVC; 1MZN; 1R0N; 1RDT; 1RXR; 1XLS; 1XV9; 1XVP; 1YNW; 2ACL; 2NLL; 2P1T; 2P1U; 2P1V; 2ZXZ; 2ZY0; 3DZU; 3DZY; 3E00; 3E94; 3FAL; 3FC6; 3FUG; 3H0A; 3KWY; 3NSP; 3NSQ; 3OAP; 3OZJ; 3PCU; 3R29; 3R2A; 3R5M; 3UVV; 4CN2; 4CN3; 4CN5; 4CN7; 4J5W; 4J5X; 4K4J; 4K6I; 4M8E; 4M8H; 4N5G; 4N8R; 4NQA; 4OC7; 4POH; 4POJ; 4PP3; 4PP5; 4RFW; 4RMC; 4RMD; 4RME; 4ZO1,,RXRA,HGNC:10477,Human,DB00307; DB00459; DB00523; DB00926; DB03756
O75311,Glycine receptor subunit alpha-3,GLRA3,3342792,AF017724,O75311,GLRA3_HUMAN,5CFB,,GLRA3,HGNC:4328,Human,DB00602
O15554,Intermediate conductance calcium-activated potassium channel protein 4,KCNN4,2584866,AF000972,O15554,KCNN4_HUMAN,"",,KCNN4,HGNC:6293,Human,DB00257
Q14626,Interleukin-11 receptor subunit alpha,IL11RA,995654,Z38102,Q14626,I11RA_HUMAN,"",,IL11RA,HGNC:5967,Human,DB00038
Q13224,"Glutamate receptor ionotropic, NMDA 2B",GRIN2B,1899202,U90278,Q13224,NMDE2_HUMAN,1S11; 1S2S; 2IPV,,GRIN2B,HGNC:4586,Human,DB00949; DB01043; DB01520; DB08954
P55017,Solute carrier family 12 member 3,SLC12A3,1172161,U44128,P55017,S12A3_HUMAN,"",,SLC12A3,HGNC:10912,Human,DB00436; DB00524; DB00562; DB00880; DB00999; DB01324; DB01325
P41143,Delta-type opioid receptor,OPRD1,27545517,U07882,P41143,OPRD_HUMAN,1OZC; 2IQM; 4N6H; 4RWA; 4RWD,,OPRD1,HGNC:8153,Human,DB00295; DB00318; DB00327; DB00333; DB00497; DB00611; DB00647; DB00704; DB00813; DB00836; DB00844; DB00956; DB01183; DB01439; DB01497; DB01535; DB01548; DB01571; DB06738; DB09272; DB09396; DB11691
P04083,Annexin A1,ANXA1,12654863,BC001275,P04083,ANXA1_HUMAN,1AIN; 1BO9; 1QLS,,ANXA1,HGNC:533,Human,DB00741
P00338,L-lactate dehydrogenase A chain,LDHA,34313,X02152,P00338,LDHA_HUMAN,1I10; 4AJP; 4JNK; 4L4R; 4L4S; 4M49; 4OJN; 4OKN; 4QO7; 4QO8; 4QSM; 4QT0; 4R68; 4R69; 4RLS,,LDHA,HGNC:6535,Human,DB09118
P22303,Acetylcholinesterase,ACHE,177975,M55040,P22303,ACES_HUMAN,1B41; 1F8U; 1PUV; 1PUW; 1VZJ; 2CLJ; 2X8B; 3LII; 4BDT; 4EY4; 4EY5; 4EY6; 4EY7; 4EY8; 4M0E; 4M0F; 4PQE,,ACHE,HGNC:108,Human,DB00382; DB00483; DB00545; DB00674; DB00677; DB00733; DB00805; DB00843; DB00944; DB00981; DB00989; DB01010; DB01122; DB01400; DB08996
P43702,DNA topoisomerase 4 subunit A,parC,1574370,L42023,P43702,PARC_HAEIN,"",,,,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),DB00218; DB00365; DB00467; DB00487; DB00537; DB00685; DB00978; DB01059; DB01137; DB01155; DB01165; DB01208; DB01405; DB04576; DB06771; DB09047
Q13936,Voltage-dependent L-type calcium channel subunit alpha-1C,CACNA1C,"",M92270,Q13936,CAC1C_HUMAN,1T0J; 2BE6; 2F3Y; 2F3Z; 2LQC; 3G43; 3OXQ,,CACNA1C,HGNC:1390,Human,DB00270; DB00308; DB00381; DB00393; DB00401; DB00568; DB00622; DB00661; DB01023; DB01054; DB01115; DB01373; DB01388; DB06712
P30988,Calcitonin receptor,CALCR,179880,L00587,P30988,CALCR_HUMAN,"",,CALCR,HGNC:1440,Human,DB01278
P23415,Glycine receptor subunit alpha-1,GLRA1,31851,X52009,P23415,GLRA1_HUMAN,1MOT; 1VRY; 2M6B; 2M6I; 4X5T,,GLRA1,HGNC:4326,Human,DB00753; DB00898; DB01028; DB01189; DB01236
Q14432,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A",PDE3A,38201493,M91667,Q14432,PDE3A_HUMAN,1LRC,,PDE3A,HGNC:8778,Human,DB00235; DB00261; DB00277; DB01166; DB01223; DB01303; DB01427; DB04880
P08514,Integrin alpha-IIb,ITGA2B,190068,J02764,P08514,ITA2B_HUMAN,1DPK; 1DPQ; 1JX5; 1KUP; 1KUZ; 1M8O; 1RN0; 1S4W; 1TYE; 1UV9; 2K1A; 2K9J; 2KNC; 2MTP; 2VC2; 2VDK; 2VDL; 2VDM; 2VDN; 2VDO; 2VDP; 2VDQ; 2VDR; 3FCS; 3FCU; 3NID; 3NIF; 3NIG; 3T3M; 3T3P; 3ZDX; 3ZDY; 3ZDZ; 3ZE0; 3ZE1; 3ZE2; 4CAK,,ITGA2B,HGNC:6138,Human,DB00054; DB00775
P35367,Histamine H1 receptor,HRH1,510296,Z34897,P35367,HRH1_HUMAN,3RZE,,HRH1,HGNC:5182,Human,DB00283; DB00341; DB00342; DB00354; DB00366; DB00405; DB00427; DB00434; DB00455; DB00477; DB00557; DB00568; DB00637; DB00719; DB00737; DB00748; DB00751; DB00767; DB00768; DB00777; DB00792; DB00835; DB00902; DB00920; DB00950; DB00967; DB00972; DB00985; DB01069; DB01071; DB01075; DB01084; DB01106; DB01114; DB01142; DB01146; DB01173; DB01176; DB01237; DB01246; DB01615; DB01619; DB01620; DB04837; DB04890; DB05381; DB06016; DB06282; DB06691; DB06698; DB08799; DB08800; DB08801; DB08802; DB08936; DB09016; DB09167; DB09488; DB09555; DB11591; DB11614; DB13025
P28223,5-hydroxytryptamine receptor 2A,HTR2A,36431,S42168,P28223,5HT2A_HUMAN,"",,HTR2A,HGNC:5293,Human,DB00246; DB00247; DB00321; DB00334; DB00363; DB00370; DB00408; DB00434; DB00477; DB00540; DB00589; DB00604; DB00656; DB00679; DB00696; DB00734; DB00805; DB00875; DB00924; DB00933; DB01142; DB01149; DB01151; DB01224; DB01238; DB01239; DB01242; DB01267; DB01442; DB01614; DB01621; DB01622; DB01623; DB04908; DB04946; DB05316; DB06016; DB06144; DB06216; DB08810; DB08815; DB08922; DB09016; DB09128; DB09167
P30872,Somatostatin receptor type 1,SSTR1,307434,M81829,P30872,SSR1_HUMAN,"",,SSTR1,HGNC:11330,Human,DB00104
P10721,Mast/stem cell growth factor receptor Kit,KIT,34085,X06182,P10721,KIT_HUMAN,1PKG; 1QZJ; 1QZK; 1R01; 1T45; 1T46; 2E9W; 2EC8; 2VIF; 3G0E; 3G0F; 4HVS; 4K94; 4K9E; 4PGZ; 4U0I,,KIT,HGNC:6342,Human,DB00398; DB00619; DB01268; DB06589; DB08896; DB09078
Q14957,"Glutamate receptor ionotropic, NMDA 2C",GRIN2C,1196449,L76224,Q14957,NMDE3_HUMAN,"",,GRIN2C,HGNC:4587,Human,DB01520
P32754,4-hydroxyphenylpyruvate dioxygenase,HPD,3860238,U29895,P32754,HPPD_HUMAN,3ISQ; 5EC3,,HPD,HGNC:5147,Human,DB00348
Q9QNF7,Thymidine kinase,TK,8100965,AF243477,Q9QNF7,KITH_HHV1,"",,,,HHV-1,DB00194; DB00577
P30939,5-hydroxytryptamine receptor 1F,HTR1F,307420,L05597,P30939,5HT1F_HUMAN,"",,HTR1F,HGNC:5292,Human,DB00216; DB00315; DB00669; DB00952; DB00953
P0A7Z4,DNA-directed RNA polymerase subunit alpha,rpoA,147715,J01685,P0A7Z4,RPOA_ECOLI,1BDF; 1COO; 1LB2; 1XS9; 3IYD; 3K4G; 3LU0; 3N4M; 3N97; 4JK1; 4JK2; 4KMU; 4KN4; 4KN7; 4MEX; 4MEY; 4S20; 4XSX; 4XSY; 4XSZ; 4YG2; 4YLN; 4YLO; 4YLP; 4ZH2; 4ZH3; 4ZH4; 5BYH,,,,Escherichia coli (strain K12),DB00615
O95665,Neurotensin receptor type 2,NTSR2,3901028,Y10148,O95665,NTR2_HUMAN,"",,NTSR2,HGNC:8040,Human,DB01106
P00326,Alcohol dehydrogenase 1C,ADH1C,28404,X04299,P00326,ADH1G_HUMAN,1DDA; 1HT0; 1U3W,,ADH1C,HGNC:251,Human,DB01213
P9WIE5,Catalase-peroxidase,katG,,,P9WIE5,KATG_MYCTU,1SFZ; 1SJ2; 2CCA; 2CCD; 4C50; 4C51,,,,Mycobacterium tuberculosis,DB00951
P38484,Interferon gamma receptor 2,IFNGR2,463550,U05875,P38484,INGR2_HUMAN,"",,IFNGR2,HGNC:5440,Human,DB00033
P0A749,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,murA,146902,M92358,P0A749,MURA_ECOLI,1A2N; 1UAE; 2Z2C; 3ISS; 3KQJ; 3KR6; 3SWD,,,,Escherichia coli (strain K12),DB00828
O60706,ATP-binding cassette sub-family C member 9,ABCC9,3127176,AF061323,O60706,ABCC9_HUMAN,"",,ABCC9,HGNC:60,Human,DB09220
P31644,Gamma-aminobutyric acid receptor subunit alpha-5,GABRA5,182916,L08485,P31644,GBRA5_HUMAN,"",,GABRA5,HGNC:4079,Human,DB00231; DB00241; DB00306; DB00312; DB00371; DB00418; DB00463; DB00546; DB00599; DB00683; DB00690; DB00794; DB00801; DB00829; DB00842; DB00849; DB00897; DB01198; DB01205; DB01215; DB01351; DB01352; DB01353; DB01354; DB01355; DB01483; DB01496; DB01544; DB01558; DB01559; DB01567; DB01588; DB01589; DB01594; DB01595; DB13872
Q96P88,Putative gonadotropin-releasing hormone II receptor,GNRHR2,16589056,AF403014,Q96P88,GNRR2_HUMAN,"",,GNRHR2,HGNC:16341,Human,DB00644; DB00666; DB01406
P66010,Thioredoxin reductase,trxB,14246533,BA000017,P66010,TRXB_STAAM,"",,,,Staphylococcus aureus (strain Mu50 / ATCC 700699),DB00548
P43119,Prostacyclin receptor,PTGIR,495043,L29016,P43119,PI2R_HUMAN,"",,PTGIR,HGNC:9602,Human,DB00374; DB01088; DB01240; DB11362
Q16739,Ceramide glucosyltransferase,UGCG,1325917,D50840,Q16739,CEGT_HUMAN,"",,UGCG,HGNC:12524,Human,DB00419; DB09039
P48169,Gamma-aminobutyric acid receptor subunit alpha-4,GABRA4,905393,U30461,P48169,GBRA4_HUMAN,"",,GABRA4,HGNC:4078,Human,DB00231; DB00241; DB00306; DB00312; DB00371; DB00418; DB00463; DB00599; DB00683; DB00690; DB00794; DB00842; DB00849; DB00897; DB01351; DB01352; DB01353; DB01354; DB01355; DB01483; DB01496; DB01544; DB01558; DB01595
O43497,Voltage-dependent T-type calcium channel subunit alpha-1G,CACNA1G,6625659,AF134986,O43497,CAC1G_HUMAN,"",,CACNA1G,HGNC:1394,Human,DB00347; DB00568; DB00593; DB00909; DB01388; DB04841; DB05246
P23975,Sodium-dependent noradrenaline transporter,SLC6A2,189258,M65105,P23975,SC6A2_HUMAN,"",,SLC6A2,HGNC:11048,Human,DB00191; DB00193; DB00226; DB00234; DB00285; DB00289; DB00321; DB00344; DB00458; DB00476; DB00540; DB00579; DB00726; DB00830; DB00852; DB00907; DB00934; DB00937; DB01105; DB01142; DB01149; DB01151; DB01156; DB01170; DB01173; DB01363; DB01442; DB01454; DB01576; DB01577; DB01579; DB04840; DB04896; DB06204; DB06700; DB06701; DB08918; DB09167; DB09185
Q07343,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B",PDE4B,347122,L20966,Q07343,PDE4B_HUMAN,1F0J; 1JP1; 1JP2; 1RO6; 1RO9; 1ROR; 1TB5; 1XLX; 1XLZ; 1XM4; 1XM6; 1XMU; 1XMY; 1XN0; 1XOS; 1XOT; 1Y2H; 1Y2J; 2CHM; 2QYL; 3D3P; 3FRG; 3G45; 3GWT; 3HC8; 3HDZ; 3HMV; 3KKT; 3LY2; 3O0J; 3O56; 3O57; 3W5E; 3WD9; 4KP6; 4MYQ; 4NW7; 4WZI; 4X0F,,PDE4B,HGNC:8781,Human,DB00277; DB00651; DB00806; DB00824; DB01113; DB03849; DB05266; DB05676
P02919,Penicillin-binding protein 1B,mrcB,42468,X02163,P02919,PBPB_ECOLI,3FWL; 3VMA,,,,Escherichia coli (strain K12),DB00274; DB00303; DB00430; DB00438; DB01327; DB01328; DB01329; DB01331; DB01332; DB01414; DB01415; DB01598; DB06211; DB11367
P15382,Potassium voltage-gated channel subfamily E member 1,KCNE1,386838,M26685,P15382,KCNE1_HUMAN,2K21,,KCNE1,HGNC:6240,Human,DB00808
P16473,Thyrotropin receptor,TSHR,903760,M73747,P16473,TSHR_HUMAN,1XUM; 2XWT; 3G04,,TSHR,HGNC:12373,Human,DB00024
P51172,Amiloride-sensitive sodium channel subunit delta,SCNN1D,1066457,U38254,P51172,SCNND_HUMAN,"",,SCNN1D,HGNC:10601,Human,DB00594
P51170,Amiloride-sensitive sodium channel subunit gamma,SCNN1G,1004273,X87160,P51170,SCNNG_HUMAN,"",,SCNN1G,HGNC:10602,Human,DB00384; DB00594
P00582,DNA polymerase I,polA,42461,V00317,P00582,DPO1_ECOLI,1D8Y; 1D9D; 1D9F; 1DPI; 1KFD; 1KFS; 1KLN; 1KRP; 1KSP; 1QSL; 2KFN; 2KFZ; 2KZM; 2KZZ,,,,Escherichia coli (strain K12),DB00548
P35348,Alpha-1A adrenergic receptor,ADRA1A,433201,D25235,P35348,ADA1A_HUMAN,"",,ADRA1A,HGNC:277,Human,DB00211; DB00298; DB00346; DB00368; DB00388; DB00449; DB00450; DB00457; DB00477; DB00590; DB00610; DB00668; DB00679; DB00692; DB00696; DB00699; DB00706; DB00723; DB00797; DB00831; DB00852; DB00865; DB00875; DB00925; DB00935; DB00964; DB01136; DB01162; DB01253; DB01472; DB01579; DB01622; DB06207; DB06262; DB06694; DB06706; DB06711; DB06764; DB09202
Q13621,Solute carrier family 12 member 1,SLC12A1,1373425,U58130,Q13621,S12A1_HUMAN,"",,SLC12A1,HGNC:10910,Human,DB00214; DB00232; DB00310; DB00534; DB00695; DB00774; DB00887; DB00903; DB01021; DB01325
P07202,Thyroid peroxidase,TPO,339867,J02969,P07202,PERT_HUMAN,"",,TPO,HGNC:12015,Human,DB00389; DB00550; DB00763
P41180,Extracellular calcium-sensing receptor,CASR,599820,X81086,P41180,CASR_HUMAN,"",,CASR,HGNC:1514,Human,DB01012; DB11093; DB11348; DB12865
P04626,Receptor tyrosine-protein kinase erbB-2,ERBB2,553282,M11767,P04626,ERBB2_HUMAN,1MFG; 1MFL; 1MW4; 1N8Z; 1OVC; 1QR1; 1S78; 2A91; 2JWA; 2KS1; 2L4K; 3BE1; 3H3B; 3MZW; 3N85; 3PP0; 3RCD; 3WLW; 3WSQ; 4GFU; 4HRL; 4HRM; 4HRN,,ERBB2,HGNC:3430,Human,DB00072; DB01259; DB05773; DB06366; DB08916
P06478,Thymidine kinase,TK,330210,J02224,P06478,KITH_HHV1C,"",,,,HHV-1,DB00299
P48039,Melatonin receptor type 1A,MTNR1A,602130,U14108,P48039,MTR1A_HUMAN,"",,MTNR1A,HGNC:7463,Human,DB00980; DB01065; DB06594; DB09071
P20701,Integrin alpha-L,ITGAL,31422,Y00796,P20701,ITAL_HUMAN,1CQP; 1DGQ; 1IJ4; 1LFA; 1MJN; 1MQ8; 1MQ9; 1MQA; 1RD4; 1T0P; 1XDD; 1XDG; 1XUO; 1ZON; 1ZOO; 1ZOP; 2ICA; 2K8O; 2M3E; 2O7N; 3BN3; 3BQM; 3BQN; 3E2M; 3EOA; 3EOB; 3F74; 3F78; 3HI6; 3M6F; 3TCX; 4IXD,,ITGAL,HGNC:6148,Human,DB00095; DB00098; DB11611
P25101,Endothelin-1 receptor,EDNRA,238636,S63938,P25101,EDNRA_HUMAN,"",,EDNRA,HGNC:3179,Human,DB00559; DB06268; DB06403; DB08932
P34903,Gamma-aminobutyric acid receptor subunit alpha-3,GABRA3,386424,S62908,P34903,GBRA3_HUMAN,"",,GABRA3,HGNC:4077,Human,DB00231; DB00241; DB00306; DB00312; DB00371; DB00418; DB00463; DB00546; DB00599; DB00683; DB00690; DB00794; DB00801; DB00829; DB00842; DB00849; DB00897; DB01198; DB01215; DB01351; DB01352; DB01353; DB01354; DB01355; DB01483; DB01496; DB01544; DB01558; DB01559; DB01567; DB01588; DB01589; DB01594; DB01595; DB09166; DB13872
Q15274,Nicotinate-nucleotide pyrophosphorylase [carboxylating],QPRT,1060907,D78177,Q15274,NADC_HUMAN,2JBM; 3LAR; 4KWV; 4KWW; 4R3X; 4R3Y,,QPRT,HGNC:9755,Human,DB00627
P47871,Glucagon receptor,GCGR,439690,U03469,P47871,GLR_HUMAN,2A83; 3CZF; 4ERS; 4L6R; 4LF3,,GCGR,HGNC:4192,Human,DB00040
O14646,Chromodomain-helicase-DNA-binding protein 1,CHD1,2645429,AF006513,O14646,CHD1_HUMAN,2B2T; 2B2U; 2B2V; 2B2W; 2B2Y; 4B4C; 4NW2; 4O42,,CHD1,HGNC:1915,Human,DB00445
P28335,5-hydroxytryptamine receptor 2C,HTR2C,338028,M81778,P28335,5HT2C_HUMAN,"",,HTR2C,HGNC:5295,Human,DB00247; DB00434; DB00574; DB00589; DB00656; DB00805; DB01142; DB01149; DB01239; DB01242; DB01267; DB01537; DB06144; DB06594; DB09014
O60391,"Glutamate receptor ionotropic, NMDA 3B",GRIN3B,3025446,AC004528,O60391,NMD3B_HUMAN,"",,GRIN3B,HGNC:16768,Human,DB01173; DB01520
P22748,Carbonic anhydrase 4,CA4,179791,M83670,P22748,CAH4_HUMAN,1ZNC; 3F7B; 3F7U; 3FW3,,CA4,HGNC:1375,Human,DB00273; DB00311; DB00703; DB00819; DB00880; DB01144
P02671,Fibrinogen alpha chain,FGA,13591824,AF361104,P02671,FIBA_HUMAN,1BBR; 1DM4; 1FPH; 1FZA; 1FZB; 1FZC; 1FZD; 1FZE; 1FZF; 1FZG; 1LT9; 1LTJ; 1N86; 1N8E; 1RE3; 1RE4; 1RF0; 1RF1; 1YCP; 2A45; 2FFD; 2H43; 2HLO; 2HOD; 2HPC; 2OYH; 2OYI; 2Q9I; 2XNX; 2XNY; 2Z4E; 3AT0; 3BVH; 3E1I; 3GHG; 3H32; 3HUS; 4F27; 5CFA,,FGA,HGNC:3661,Human,DB00009; DB00015; DB00029; DB00031; DB11311; DB13151
P18405,3-oxo-5-alpha-steroid 4-dehydrogenase 1,SRD5A1,177767,M32313,P18405,S5A1_HUMAN,"",,SRD5A1,HGNC:11284,Human,DB00367; DB01126; DB09389
P09884,DNA polymerase alpha catalytic subunit,POLA1,35568,X06745,P09884,DPOLA_HUMAN,1K0P; 1K18; 1N5G; 4Q5V; 4QCL; 4Y97,,POLA1,HGNC:9173,Human,DB00242; DB00631; DB01073
P00363,Fumarate reductase flavoprotein subunit,frdA,145263,J01611,P00363,FRDA_ECOLI,1KF6; 1KFY; 1L0V; 2B76; 3CIR; 3P4P; 3P4Q; 3P4R; 3P4S; 4KX6,,,,Escherichia coli (strain K12),DB00730
Q12791,Calcium-activated potassium channel subunit alpha-1,KCNMA1,537439,U13913,Q12791,KCMA1_HUMAN,2K44; 3MT5; 3NAF,,KCNMA1,HGNC:6284,Human,DB00356; DB00436; DB01003
Q05486,Protein P,P,59427,X69798,Q05486,DPOL_HBVF1,"",,,,HBV-F,DB00709; DB01265
P16066,Atrial natriuretic peptide receptor 1,NPR1,28230,X15357,P16066,ANPRA_HUMAN,"",,NPR1,HGNC:7943,Human,DB00325; DB00727; DB00883; DB01612; DB01613
